"filename","title","description","tags","privacy","playlist","categoryId","scheduleTime","thumbnail"
"01_Short_01.mp4","Địa Tạng Bồ Tát Có Phải Thần Giữ Cổng Địa Ngục?","Địa Tạng Bồ Tát không phải thần giữ cổng địa ngục - đây là hiểu lầm phổ biến nhất về Ngài. Trong Phật giáo Đại thừa, Địa Tạng là một vị Bồ Tát mang đại nguyện từ bi, khác hẳn Diêm La Vương. #Shorts #ĐịaTạngBồTát #PhậtGiáo","Địa Tạng Bồ Tát, Diêm La Vương, Bồ Tát là ai, Phật giáo Đại thừa, hiểu lầm Địa Tạng, Kinh Địa Tạng","public","Giải Mã Kinh Địa Tạng - Shorts","27","2026-07-20 09:00","01_Short_01_thumb.jpg"
"01_Short_02.mp4","Vì Sao Tích Trượng Của Địa Tạng Khua Lên Tiếng Khẽ?","Tích trượng của Địa Tạng không phải pháp khí quyền năng để dọa ai. Đó là hình ảnh một mình bước vào bóng tối để soi đường cho người lạc lối. #Shorts #TíchTrượng #ĐịaTạngBồTát","tích trượng Địa Tạng, Địa Tạng Bồ Tát, biểu tượng Phật giáo, soi đường, Kinh Địa Tạng","public","Giải Mã Kinh Địa Tạng - Shorts","27","2026-07-21 09:00","01_Short_02_thumb.jpg"
"01_Short_03.mp4","Thiếu Nữ Bà La Môn Và Linh Cảm Về Người Mẹ Đã Mất","Câu chuyện tiền thân của Địa Tạng Bồ Tát bắt đầu từ một thiếu nữ dòng Bà La Môn, mang linh cảm rằng mẹ mình đang chịu khổ lớn sau khi qua đời. #Shorts #ĐịaTạngBồTát #KinhĐịaTạng","chuyện tiền thân Địa Tạng, thiếu nữ Bà La Môn, Địa Tạng Bồ Tát, nghiệp, Kinh Địa Tạng, Phật giáo","public","Giải Mã Kinh Địa Tạng - Shorts","27","2026-07-22 09:00","01_Short_03_thumb.jpg"
"01_Short_04.mp4","Địa Tạng Bồ Tát Và Diêm La Vương Khác Nhau Thế Nào?","Nhiều người gộp chung Địa Tạng với vị thần cầm sổ sinh tử. Thực ra Diêm La Vương gắn với phán xét, còn Địa Tạng gắn với đại nguyện từ bi cứu độ. #Shorts #ĐịaTạngBồTát #DiêmLaVương","Địa Tạng Bồ Tát, Diêm La Vương, phán xét, đại nguyện, Phật giáo Đại thừa, Kinh Địa Tạng","public","Giải Mã Kinh Địa Tạng - Shorts","27","2026-07-23 09:00","01_Short_04_thumb.jpg"
"01_Short_05.mp4","Địa Tạng Là Ai? Câu Trả Lời Không Nằm Ở Cái Tên","Danh tính của Địa Tạng Bồ Tát không nằm ở tên gọi hay hình tướng, mà nằm ở điều Ngài chọn không bao giờ làm: không bao giờ quay lưng. #Shorts #ĐịaTạngBồTát #ĐạiNguyện","Địa Tạng Bồ Tát, đại nguyện, không quay lưng, Kinh Địa Tạng, Phật giáo, ý nghĩa cuộc sống","public","Giải Mã Kinh Địa Tạng - Shorts","27","2026-07-24 09:00","01_Short_05_thumb.jpg"
"01_Short_06.mp4","Đại Nguyện Của Địa Tạng Không Cần Tuyên Bố Hùng Tráng","Đại nguyện của Địa Tạng Bồ Tát mang sắc thái khiêm nhường - một quyết định lặng lẽ giữ trong lòng, như người mẹ không rời giường bệnh của con. #Shorts #ĐạiNguyện #ĐịaTạngBồTát","đại nguyện Địa Tạng, Địa Tạng Bồ Tát, lòng từ bi, Kinh Địa Tạng, Phật giáo, câu chuyện cảm động","public","Giải Mã Kinh Địa Tạng - Shorts","27","2026-07-25 09:00","01_Short_06_thumb.jpg"
"01_Short_07.mp4","Tích Trượng Của Địa Tạng Không Phải Là Vũ Khí","Nhìn qua tích trượng của Địa Tạng Bồ Tát giống vũ khí trừng phạt, nhưng thực ra đó là tiếng gọi khẽ nhắc điều còn thức trong bóng tối. #Shorts #TíchTrượng #ĐịaTạngBồTát","tích trượng Địa Tạng, Địa Tạng Bồ Tát, biểu tượng Phật giáo, Kinh Địa Tạng, không phải vũ khí","public","Giải Mã Kinh Địa Tạng - Shorts","27","2026-07-26 09:00","01_Short_07_thumb.jpg"
"01_Short_08.mp4","Viên Minh Châu Của Địa Tạng Không Phải Pháp Khí Huyền Bí","Minh châu trong tay Địa Tạng Bồ Tát không rực rỡ, không chói lòa - ánh sáng ấy chỉ đủ soi một bước chân tiếp theo trong bóng tối. #Shorts #MinhChâu #ĐịaTạngBồTát","minh châu Địa Tạng, Địa Tạng Bồ Tát, biểu tượng Phật giáo, ánh sáng, Kinh Địa Tạng","public","Giải Mã Kinh Địa Tạng - Shorts","27","2026-07-27 09:00","01_Short_08_thumb.jpg"
"01_Short_09.mp4","Thiếu Nữ Bà La Môn Bán Hết Của Cải Để Cầu Nguyện Cho Mẹ","Trong tiền thân của Địa Tạng Bồ Tát, một thiếu nữ dòng Bà La Môn bán gần hết những gì mình có, làm việc lành hồi hướng cho mẹ đang chịu khổ. #Shorts #KinhĐịaTạng #ĐịaTạngBồTát","chuyện tiền thân Địa Tạng, thiếu nữ Bà La Môn, hồi hướng công đức, Địa Tạng Bồ Tát, Kinh Địa Tạng","public","Giải Mã Kinh Địa Tạng - Shorts","27","2026-07-28 09:00","01_Short_09_thumb.jpg"
"01_Short_10.mp4","Bồ Tát Là Gì? Địa Tạng Không Phải Đấng Toàn Năng","Nhiều người nghĩ Bồ Tát là đấng toàn năng ban phước giáng họa. Thực ra Bồ Tát là chúng sinh phát tâm giác ngộ, nguyện dìu dắt người khác cùng đi. #Shorts #BồTát #ĐịaTạngBồTát","Bồ Tát là gì, Địa Tạng Bồ Tát, Phật giáo Đại thừa, phát tâm giác ngộ, Kinh Địa Tạng","public","Giải Mã Kinh Địa Tạng - Shorts","27","2026-07-29 09:00","01_Short_10_thumb.jpg"
